Curso,Professor,Projeto,Resumo
Ciência da Computação (Bacharelado),ALESSANDER OSORIO,Capacitação em Atenção Primária sobre manejo e controle da Dor crônica e Síndromes Dolorosas.,"Formar profissionais que atuam na Atenção Primária à Saúde (APS) para identificar, manejar e controlar a Dor e Síndromes Dolorosas que acometem usuários atendidos na APS."
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Gestão de Relacionamentos entre Objetos na Internet das Coisas Social,"O objetivo geral do presente projeto é a geração de um modelo para gestão de relacionamentos que permita a integração mais efetiva e eficiente entre dispositivos que fazem parte de uma infraestrutura de IoT, levando a uma SIoT. 

A hipótese de pesquisa define que um modelo de gestão dinâmica dos relacionamentos estabelecidos entre estes objetos, que socializam em ambientes inteligentes, potencialize a oferta de serviços mais oportunos com menor carga cognitiva de seus usuários. O próprio ecossistema de coisas inteligentes se beneficia desta gestão eficiente das relações sociais, pois muitas interações ocorrem de forma autônoma em atendimento a uma finalidade em comum.
"
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,"“Validação de sistema de gamificação, gestão e automação na nuvem para eficiência energética de edificações públicas com foco inicial em universidades”","Gerar mudanças de conduta nos usuários, por intermédio de sistemas implementados de gamificação, levando a uma consciência mais sustentável em relação a utilização e interação com o ambiente construído

Objetivos específicos:
● Nivelamento das diferentes equipes de modo que cada uma delas saiba exatamente identificar suas metas e resultados na interação às demais e à integração do projeto;
● Adequação das metodologias de gamificação e estratégias de engajamento do usuário;
● Desenvolver o protótipo a partir da experiência do usuário;
● Desenvolver o software, interface com usuário (front end) e sistemas (back end);
● Validar o protótipo em laboratório;
● Aplicar os produtos anteriores em uma edificação pública de ensino superior para avaliação da metodologia de gamificação na eficiência energética;
● Avaliação de resultados e propor aprimoramento do sistema."
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Explorando o uso de Inteligência Artificial para Suporte a Tecnologias Educacionais,"A evolução na educação virá da observação dos alunos e da revisão dos processos educacionais atuais de baixo para cima: da dinâmica de aula ao planejamento, da instrumentação dos alunos ao conteúdo educacional inteligente, e pensar em novos métodos de acessibilidade, avaliação, análise e recomendação. Ao mesmo tempo, precisamos desafiar a estrutura estabelecida e desconstruir os métodos centenários para a educação, observando como a Inteligência Artificial pode ajudar a evoluir o processo de educação em diversos aspectos sociais, incluindo STEM, artes liberais, ciências humanas, acessibilidade, inclusão, e outros."
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Proben - Extensão,"Implementar o bom uso da energia elétrica, através da educação do usuário e da implementação de tecnologias e técnicas mais eficientes, buscando a redução do consumo, das despesas com energia elétrica e a disseminação do conhecimento para além das fronteiras da universidade. Em outras palavras, promover o uso racional da energia elétrica, tratando-a com responsabilidade e sem desperdícios."
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Congresso Anual Internacional Passive House Brasil,"- Aproximar a universidade/academia do mercado da construção civil, como também qualificar arquitetos, engenheiros e profissionais da construção civil no âmbito do projeto de Casas Passivas. "
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Implantação de um Sistema de Produção de Kits Hidrossanitários Industrializados para a Construção Civil,"Desenvolvimento e implementação de um sistema de produção de kits hidrossanitários industrializados para a construção civil, tendo como base os princípios da Produção Enxuta.
"
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Implementação e viabilidade de edificação pública NZEB,"Este projeto compartilha os objetivos gerais do da Chamada Pública, buscando fomentar o conhecimento, estudo e desenvolvimento de projetos NZEB em território nacional e sua aplicabilidade e viabilidade técnica e financeira de construção e operação."
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,estudo de processos para a CustomiZAção em Massa de projetos para HAbitações de Interesse Social (CZA+),"Desenvolver processos de uso e interação com tecnologias que possibilitem o co-design visando a customização em massa de projetos de reformas em contextos de habitação de interesse social do Rio Grande do Sul, configurando-se como tecnologias sociais. São adotados os seguintes objetivos específicos:
- Analisar e testar processos e fluxos de trabalho de parametria, processos generativos de projeto e BIM que possam ser utilizados em um sistema de co-design, um configurador de customização em massa, tendo em vista as características específicas do contexto de HIS considerado, assim como a interação e transferência de informação entre os diferentes sistemas.
-  Analisar e testar diferentes meios que possibilitem a interação de forma facilitada entre usuários e os processos mencionados no item anterior (tais como maquetes físicas, mesa tangível, realidade aumentada, entre outros) e desenvolver processor que permitam tal interação de forma automatizada. 
- Desenvolver processos e fluxos de trabalho que permitam a automação de etapas do processo de levantamento em unidades existentes até a obtenção de um modelo digital de tal unidade.
"
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Aprendizagem de programação por pares IA-Humano: Explorando o Potencial do ChatGPT para a aprendizagem de Programação,"O objetivo primário deste estudo é investigar a eficácia do uso do ChatGPT, um Modelo de Linguagem de Grande Escala, como um par de programação, na promoção da aprendizagem de programação de alunos iniciantes em cursos de ciências da computação. Em particular, o estudo pretende avaliar se a interação com o ChatGPT pode melhorar a compreensão dos alunos sobre os conceitos de programação, aumentar sua capacidade de resolução de problemas de programação, e melhorar sua percepção da atividade de programação. A intenção é fornecer insights valiosos que possam informar práticas pedagógicas inovadoras na educação em programação, bem como contribuir para a literatura de pesquisa existente sobre a aplicação de inteligência artificial na educação.
"
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,"“Validação de sistema de gamificação, gestão e automação na nuvem para eficiência energética de edificações públicas com foco inicial em universidades”","Gerar mudanças de conduta nos usuários, por intermédio de sistemas implementados de gamificação, levando a uma consciência mais sustentável em relação a utilização e interação com o ambiente construído

Objetivos específicos:
● Nivelamento das diferentes equipes de modo que cada uma delas saiba exatamente identificar suas metas e resultados na interação às demais e à integração do projeto;
● Adequação das metodologias de gamificação e estratégias de engajamento do usuário;
● Desenvolver o protótipo a partir da experiência do usuário;
● Desenvolver o software, interface com usuário (front end) e sistemas (back end);
● Validar o protótipo em laboratório;
● Aplicar os produtos anteriores em uma edificação pública de ensino superior para avaliação da metodologia de gamificação na eficiência energética;
● Avaliação de resultados e propor aprimoramento do sistema."
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,DeepRAD - Auxilio de diagnóstico odontologico em radiômica auxiliado por aprendizado de máquina,"O objetivo desse estudo é avaliar a eficácia das Convolutional Neural Networks (CNNs) na identificação dos elementos dentários presentes, anomalias dentárias e no diagnóstico de doenças bucais (lesões periapicais e lesões de cárie), utilizando radiografias panorâmicas e bitewing  através do desenvolvimento e treinamento de um algoritmo de deep learning."
Ciência da Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),ANDRÉ DESESSARDS JARDIM,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),ANDRE RAUBER DU BOIS,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,"Este projeto de pesquisa é uma prorrogação do projeto ""Memória Transacional Adaptativa para Arquiteturas Heterogêneas"" (código 10198). O objetivo geral do projeto é investigar a abstração chamada Memórias Transacionais em diferentes arquiteturas de hardware, propondo soluções a nível de linguagem e sistema de tempo de execução para a execução eficiente dessa abstração nas diferentes arquiteturas.

Esta prorrogação tem por objetivo continuar o projeto, atacando duas frentes novas de investigação: 1) Melhorar o desempenho de Memórias Transacionais em arquiteturas NUMA através da escolha de políticas apropriadas de thread e data mapping para as aplicações 2) Investigar o uso da abstração de Memórias Transacionais em ambientes distribuídos.

A primeira frente de pesquisa tem por objetivo encontrar o melhor mapeamento possível de threads e dados em arquiteturas NUMA para programas concorrentes que usam a abstração de Memórias Transacionais. Para esse fim, pretende-se usar algoritmos de Machine Learning que aprendam com o comportamento de programas de benchmark, para que possam prever um melhor mapeamento para novos programas. Espera-se para esta etapa do trabalho o desenvolvimento de dois artefatos de software. O primeiro seria uma ferramenta que realize o mapeamento de threads e dados através da coleta off-line de dados da execução das aplicações. Nesse caso, os programas seriam executados uma vez e dados coletados na execução seriam passados para a função gerada pelo processo de Machine Learning para que esta função encontre o melhor mapeamento de threads/dados para a nova aplicação. O segundo artefato de software seria baseado no uso on-line desse recurso. O objetivo é que as aplicações tenham duas fases, uma de aquecimento, na qual dados são coletados e uma segunda de mapeamento, no qual a função desenvolvida com Machine Learning é usada para decidir se um novo mapeamento de threads/dados é necessário.

A segunda frente de pesquisa visa a execução da abstração de Memórias Transacionais em ambientes distribuídos. Para isso, pretende-se investigar abstrações a nível de linguagem e a nível de execução de programas, fornecendo um algoritmo distribuído para a execução de programas baseados em Memórias Transacionais. A nível de linguagem, pretende-se desenvolver primitivas que permitam que o programador possa expressar transações que utilizam áreas de memória remotas, i.e., que estão localizadas em outro espaço de endereçamento (máquina remota). A nível de execução, pretende-se adaptar algoritmos clássicos de Memórias Transacionais para ambientes distribuídos.
"
Ciência da Computação (Bacharelado),ANDRE RAUBER DU BOIS,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
Ciência da Computação (Bacharelado),ANDRE RAUBER DU BOIS,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Ciência da Computação (Bacharelado),BERNARDO BARANCELLI SCHWEDERSKY,Desenvolvimento de Abordagens de Controle Avançado com Modelos Neurais,"O objetivo deste projeto é estudar, desenvolver e validar abordagens de controle preditivo baseado em modelo e controle adaptativo, utilizando redes neurais artificiais recorrentes como modelo de predição."
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,Análise de Sentimento Baseada em Aspectos Usando Aprendizado Profundo: uma Proposta Aplicada a Língua Portuguesa,"O objetivo geral deste trabalho é propor (definir, implementar e avaliar) um novo método de Análise de Sentimento em Nível de Aspectos para documentos opinativos escritos em Língua Portuguesa utilizando Aprendizado Profundo."
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,Detecção de Narrativas Ligadas à Disseminação de Discursos de Ódio no Português Brasileiro através do uso de indicares linguísticos,"Buscando endereçar as problemáticas levantadas, este projeto de pesquisa tem por finalidade promover o estudo e desenvolvimento de técnicas para auxiliar a mitigar a cultura de violência online que vem se instaurando e trazendo implicações que refletem em nosso cotidiano através  de discursos de ódio disseminados em fóruns. Dessa forma, visando prover soluções computacionais de maior efetividade em detectar e mitigar este tipo de conteúdo, este projeto está organizado de modo a alcançar alguns objetivos-chave."
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,UFPel convida: uma jornada pela educação superior,"O principal objetivo da Mostra de Cursos e do Mundo UFPel é promover a visibilidade e divulgação dos cursos de graduação oferecidos pela UFPel, tanto para a comunidade acadêmica quanto para as escolas de Ensino Médio da região. Apresentando e divulgando os Cursos de Graduação da UFPel junto à comunidade e Escolas de Ensino Médio espera-se que um número de interessados nos cursos participem dos processos seletivos e matriculem-se junto à Instituição de ensino. Além disso, almeja-se consolidar um espaço permanente e anual de divulgação dos Cursos de Graduação da UFPel. Tanto a Mostra de Cursos como o Mundo UFPel buscam estabelecer-se como evento anual que serve como espaço contínuo de divulgação dos cursos da universidade, contribuindo para a promoção da educação superior.
"
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,"Estudo, prevenção e mitigação de cibercrimes no ambiente universitário","O objetivo geral desse projeto é aumentar a conscientização e a capacidade de prevenção e resposta a cibercrimes, promovendo uma segurança digital entre a comunidade da UFPel. Para atingir esse objetivo, serão implementadas diversas ações estratégicas."
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,"Laboratório de Ensino, Pesquisa e Produção em Antropologia da Imagem e do Som - LEPPAIS","Fornecer as condições estruturais, humanas, técnicas, teóricas e metodológicas para a exploração de recursos, linguagens e percepções visuais e audiovisuais em pesquisas sociais, assim como subsidiar a elaboração de produtos para a restituição de resultados de pesquisas acadêmcias aos diversos segmentos da sociedade.
"
Ciência da Computação (Bacharelado),BRENDA SALENAVE SANTANA,Hut8 - Empresa Junior de Computação,"O propósito deste Projeto é estabelecer mecanismos de interação, supervisão e avaliação da Empresa Junior da Computação da Universidade Federal de Pelotas, efetivamente vinculando esta à Universidade e em particular aos cursos de Ciência da Computação e Engenharia de Computação e garantindo o apoio aos processos inerentes à Empresa de forma a incentivar o empreendedorismo e o pensamento inovador que conectem o ambiente acadêmico ao meio empresarial e industrial. Estabelece-se como objetivos acadêmicos da Empresa Junior, no contexto deste projeto:

- Desenvolver um ambiente propício à experiência de atividades ligadas ao empreendedorismo, troca e aplicação de conhecimentos técnico-científicos;
- Fornecer acesso à comunidade a conhecimentos obtidos e desenvolvidos na área de Computação da Universidade."
Ciência da Computação (Bacharelado),BRUNO ZATT,Otimizações Algorítmicas e Projeto de Hardware Dedicado para a Compressão de Vídeo em Dispositivos Móveis ,"Este projeto tem como objetivo principal o desenvolvimento de algoritmos otimizados e de arquiteturas de hardware dedicadas de alto desempenho e de baixo consumo para a codificação de vídeo digital de ultra alta resolução em tempo real em dispositivos móveis, com foco nos novos codificadores de vídeo AV1 e VVC.  Devido à crescente demanda pelo processamento de vídeo de alta resolução em dispositivos móveis, seja para captação, armazenamento, transmissão ou reprodução em tempo real, o cenário atual proporciona amplo espaço de trabalho para pesquisas nesta área, onde as contribuições científicas podem ser aplicadas às novas gerações de dispositivos móveis comerciais que deverão possuir suporte a estes codificadores. 
Este trabalho investigará as principais inovações e as etapas críticas do processo de codificação dos codificadores AV1 e VVC (Versatile Video Coding), para o projeto eficiente de hardware de alto desempenho e baixo consumo para atender às demandas do projeto voltado à aplicação em dispositivos móveis. O projeto eficiente de hardware para a codificação de vídeo requer a aplicação de otimizações e simplificações em diferentes níveis, desde a aplicação até o projeto arquitetural e físico. Neste trabalho, novos algoritmos e otimizações/simplificações dos algoritmos existentes nos codificadores AV1 e VVC serão propostas, sempre com foco na obtenção de algoritmos mais eficientes para a implementação em hardware. Além disso, o projeto arquitetural também explorará diversas técnicas para o projeto de circuitos VLSI de baixa potência."
Ciência da Computação (Bacharelado),BRUNO ZATT,Codificação de Vídeo de Baixo Custo Computacional Auxiliada por Aprendizado de Máquina,"O objetivo principal deste projeto consiste no desenvolvimento de soluções inovadoras para a redução do custo computacional dos codificadores de vídeo estado-da-arte VVC e AV1 e de transcodificadores de vídeo que envolvem os novos formatos e seus antecessores HEVC e VP9, respectivamente. As estratégias propostas serão focadas em otimizações algorítmicas baseadas em modelos computacionais construídos através de técnicas de aprendizado de máquina. As soluções deverão se concentrar nas etapas mais custosas dos processos de codificação, sempre buscando minimizar o custo computacional sem causar perdas significativas na eficiência de codificação. "
Ciência da Computação (Bacharelado),BRUNO ZATT,Exploração de Computação Aproximada e Armazenamento Aproximado para Sistemas de Codificação de Vídeo Energeticamente Eficientes," principal objetivo deste projeto é gerar contribuições científicas para a redução do consumo de energia em sistemas de codificação de vídeo considerando duas abordagens principais: (1) utilização de computação aproximada no desenvolvimento algoritmos e arquiteturas de hardware dedicadas para as principais etapas presentes em codificadores de vídeo modernos; e (2) utilização de armazenamento aproximado no projeto de memórias dedicadas para sistemas de codificação de vídeos. Além de serem energeticamente eficientes, as soluções desenvolvidas neste projeto não devem comprometer a alta eficiência de codificação proporcionada por codificadores de vídeos atuais, ou seja, baixa taxa de bits e alta qualidade visual.
Outro objetivo deste projeto é na linha de formação de recursos humanos capacitados para realizar pesquisa e desenvolver soluções para a redução do consumo de energia em sistemas de codificação de vídeo. Alunos de iniciação científica, mestrado e doutorado irão participar no desenvolvimento das diversas etapas propostas neste projeto. Nesse sentido, trabalhos de conclusão de curso, dissertações de mestrado e teses de doutorado serão focadas nos objetivos deste projeto.
Finalmente, o projeto também tem como objetivo aumentar a qualidade da pesquisa que é realizada nas áreas de microeletrônica e codificação de vídeo nos grupos de pesquisa Video Technology Research Group (ViTech) e Grupo de Arquiteturas e Circuitos Integrados (GACI) da UFPel. Além disso, contribuir com a pesquisa realizada no Centro de Engenharias e no Programa de Pós-Graduação em Computação (PPGC) da UFPel, da qual este coordenador é membro permanente."
Ciência da Computação (Bacharelado),BRUNO ZATT,Soluções Eficientes para Codificadores de Vídeo Usando Hardware Dedicado e Aprendizado de Máquina ,"Esse projeto tem como objetivo científico principal gerar contribuições para a área de codificação de vídeos em duas linhas de atuação principais: (i) geração de algoritmos otimizados usando aprendizado de máquina visando reduzir o tempo de execução e manter a eficiência de codificação dos codificadores AV1 e VVC e (ii) projeto de hardware de elevada taxa de processamento e baixo consumo energético para os codificadores e decodificadores do AV1 e VVC. Em ambos os casos, serão selecionadas para investigação as ferramentas de codificação com maiores oportunidades para a geração de contribuições inovadoras.

Além deste objetivo científico, também é objetivo geral deste projeto contribuir para consolidar o Programa de Pós-Graduação em Computação (PPGC) da UFPel e, também, fortalecer a pesquisa nas áreas de microeletrônica e codificação de vídeos na UFPel e na região sul do Rio Grande do Sul. 
"
